Product Name,Product Price,Brand,Code,Barcode
Parle G,5/-,Parle,8.90172E+12,-8.90172E+12
50-50 Maska Chaska ,10/-,Britannia,8.90106E+12,-8.90106E+12
Nutri Choice,25/-,Britannia,8.90106E+12,-8.90106E+12
Chocolairs Gold,50/-,Cadbury,7.6222E+12,-7.6222E+12
Dark Fantasy Choco Fills,40/-,Sunfeast,8.90173E+12,-8.90173E+12
Hide&Seek,30/-,Parle,8.90172E+12,-8.90172E+12
Dove Bar ,35/-,Hindustan,8.90103E+12,-8.90103E+12
Liril Lime,41/-,Hindustan,8.90911E+12,-8.90911E+12
Kinder Joy DC,50/-,Ferrero SpA,80916628,-80916628
Suji Ravva,33/-,Lalitha,8.908E+12,-8.908E+12
Lalitha Rice Ravva,35/-,Lalitha,8.908E+12,-8.908E+12
Garam Masala,52/-,Everest,8.90179E+12,-8.90179E+12
Meat Masala,48/-,Everest,8.90179E+12,-8.90179E+12
Bingo,10/-,ITC,8.90173E+12,-8.90173E+12
Sweet and Salty,5/-,Britannia,8.90106E+12,-8.90106E+12
GoodDay ,10/-,Britannia,8.90106E+12,-8.90106E+12
Marie Gold,10/-,Britannia,8.90106E+12,-8.90106E+12
Bourbon,10/-,Britannia,8.90106E+12,-8.90106E+12
Amul Milk,29/-,Gujarat Co-operative Milk Marketing Federation,8.90126E+12,-8.90126E+12
Jim Jam ,10/-,Britannia,8.90106E+12,-8.90106E+12
Amul Milk ,36/-,Gujarat Co-operative Milk Marketing Federation,8.90126E+12,-8.90126E+12
Gold Drop 150/-,185/-,Lohiya,8.90602E+12,-8.90602E+12
Parachute Oil,429/-,Marico Limited,8.90109E+12,-8.90109E+12
Goobles Strawberry,15/-,Britannia,8.90106E+12,-8.90106E+12
Goobles Pineapple,15/-,Britannia,8.90106E+12,-8.90106E+12
Goobles Milky Masti,15/-,Britannia,8.90106E+12,-8.90106E+12
777 Ganesh Appadam,72/-,SGR (777) Foods Private Limited,8.97231E+11,-8.97231E+11
Bournvita ,10/-,Cadbury,7.6222E+12,-7.6222E+12
Perk,5/-,Cadbury,7.6222E+12,-7.6222E+12
Perk,10/-,Cadbury,7.6222E+12,-7.6222E+12
Fuse,20/-,Cadbury,7.6222E+12,-7.6222E+12
5 Star ,20/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk ,10/-,Cadbury,7.6222E+12,-7.6222E+12
Kit Kat,10/-,Nestle,8.90106E+12,-8.90106E+12
Milky Bar,10/-,Nestle,8.90106E+12,-8.90106E+12
Munch,10/-,Nestle,8.90105E+12,-8.90105E+12
Milky Bar,20/-,Nestle,8.90106E+12,-8.90106E+12
Milky Bar Moosha,20/-,Nestle,8.90106E+12,-8.90106E+12
Kit Kat,20/-,Nestle,8.90106E+12,-8.90106E+12
Qwality Walls ButterScotch Cone,45/-,Hindustan,8.90103E+12,-8.90103E+12
Qwality Walls Chocolate Cone,45/-,Hindustan,8.90103E+12,-8.90103E+12
Tic Tac Mint,20/-,Ferrero SpA,8.0005E+12,-8.0005E+12
Tic Tac Orange ,20/-,Ferrero SpA,8.0005E+12,-8.0005E+12
Tic Tac Strawberry,20/-,Ferrero SpA,8.0005E+12,-8.0005E+12
Celebrations,50/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Silk ,230/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Silk,110/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Oreo,220/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Oreo,110/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Roast Almond,230/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Mousse ,110/-,Cadbury,7.6222E+12,-7.6222E+12
Dairy Milk Ganache,110/-,Cadbury,7.6222E+12,-7.6222E+12
Bingo,50/-,ITC,8.90173E+12,-8.90173E+12
Lays Red,20/-,PepsiCo,8.90149E+12,-8.90149E+12
Lays 20/- Blue,20/-,PepsiCo,8.90149E+12,-8.90149E+12
Lays 20/- Green ,20/-,PepsiCo,8.90149E+12,-8.90149E+12
Bingo Purple,10/-,ITC,8.90173E+12,-8.90173E+12
Bingo Red,20/-,ITC,8.90173E+12,-8.90173E+12
Lays Yellow,20/-,PepsiCo,8.90149E+12,-8.90149E+12
Lays Yellow,30/-,PepsiCo,8.90149E+12,-8.90149E+12
Lays Blue,30/-,PepsiCo,8.90149E+12,-8.90149E+12
Honey Squeezy,175/-,Dabur India Limited,8.90121E+12,-8.90121E+12
Tata Salt,30/-,Tata Consumer Products Limited (TCPL),8.90404E+12,-8.90404E+12
Aashirvaad Salt,30/-,ITC,8.90908E+12,-8.90908E+12
Tata Pink Salt,99/-,Tata Consumer Products Limited (TCPL),8.90404E+12,-8.90404E+12
Tata Salt Lite,90/-,Tata Consumer Products Limited (TCPL),8.90404E+12,-8.90404E+12
Aashirvaad Crystal Salt,22/-,ITC,8.90173E+12,-8.90173E+12
Aashirvaad Turmeric Powder,40/-,ITC,8.90173E+12,-8.90173E+12
Aashrivaad Turmeric Powder,20/-,ITC,8.90173E+12,-8.90173E+12
MTR Sambar Powder,76/-,MTR Foods,8.90104E+12,-8.90104E+12
Priya Mango Pickle,10/-,Priya Foods,8.90425E+12,-8.90425E+12
Priya Lime Pickle,10/-,Priya Foods,8.90425E+12,-8.90425E+12
Priya Gongura Pickle,10/-,Priya Foods,8.90425E+12,-8.90425E+12
Priya Mango Thokku Pickle,10/-,Priya Foods,8.90425E+12,-8.90425E+12
Priya Tomato Pickle,10/-,Priya Foods,8.90425E+12,-8.90425E+12
Swastiks Garlic Pickle,60/-,Swastik Spices,8.9041E+12,-8.9041E+12
Priya Ginger Pickle,110/-,Priya Foods,8.90425E+12,-8.90425E+12
Priya Gongura Pickle 110/-,110/-,Priya Foods,8.90425E+12,-8.90425E+12
Swastiks Mango Pickle 115/-,115/-,Swastik Spices,8.9041E+12,-8.9041E+12
Maaza 75/-,75/-,Coco Cola,8.90176E+12,-8.90176E+12
Thumps UP 45/-,45/-,Coco Cola,8.90176E+12,-8.90176E+12
Thumps UP 20/-,20/-,Coco Cola,8.90176E+12,-8.90176E+12
Sprite 20/-,20/-,Coco Cola,8.90176E+12,-8.90176E+12
Sprite 45/-,45/-,Coco Cola,8.90176E+12,-8.90176E+12
Thumps UP 100/-,100/-,Coco Cola,8.90176E+12,-8.90176E+12
Sprite 70/-,70/-,Coco Cola,8.90176E+12,-8.90176E+12
Coke 20/-,20/-,Coco Cola,8.90176E+12,-8.90176E+12
Fanta 45/-,45/-,Coco Cola,8.90176E+12,-8.90176E+12
Sprite 100/-,100/-,Coco Cola,8.90176E+12,-8.90176E+12
Taj Mahal 95/-,95/-,Hindustan,8.90911E+12,-8.90911E+12
Chakra Gold 90/-,90/-,Tata Consumer Products Limited (TCPL),8.90105E+12,-8.90105E+12
Maggi Pazzta Veg Cheese 32/-,32/-,Nestle,8.90106E+12,-8.90106E+12
Maggi 15/-,15/-,Nestle,8.90106E+12,-8.90106E+12
Red Label 30/-,30/-,Hindustan,8.90103E+12,-8.90103E+12
Red Label 130/-,130/-,Hindustan,8.90103E+12,-8.90103E+12
Red Label NC 50/-,50/-,Hindustan,8.90103E+12,-8.90103E+12
Red Label NC 150/-,150/-,Hindustan,8.90103E+12,-8.90103E+12
Kwality Walls Choco Brownie 50/-,50/-,Hindustan,8.90103E+12,-8.90103E+12
Dairy Milk Crispello 40/-,40/-,Cadbury,7.6222E+12,-7.6222E+12
Munch 20/-,20/-,Nestle,8.90106E+12,-8.90106E+12
